sample_id,decision,time_h,slope,r.squared,w_size
191104_PC_1_2,334,563.16666667,0.04882598,0.97020744,19
191104_PC_1_2,336,565.16666667,0.05183668,0.97045168,15
191104_PC_1_2,336,565.16666667,0.05183668,0.97045168,15
191104_PC_1_2,338,566.91666667,0.05056534,0.95502755,19
191104_PC_1_2,338,566.91666667,0.05056534,0.95502755,19
191104_PC_1_2,339,567.91666667,0.0482444,0.96143711,18
191104_PC_1_2,339,567.91666667,0.0482444,0.96143711,18
191104_PC_1_2,340,568.91666667,0.04832022,0.97807195,18
191104_PC_1_2,340,568.91666667,0.04832022,0.97807195,18
191104_PC_1_2,341,569.66666667,0.05014725,0.92552702,15
