"Bucket label","RT","m/z","Name","Formula","2020020_TTP_SILS2665_RA1_1_23 _merged_","2020020_TTP_SILS2666_RA2_1_23 _merged_","2020020_TTP_SILS2667_RA3_1_23 _merged_","2020020_TTP_SILS2668_RA4_1_23 _merged_","2020020_TTP_SILS2669_RA5_1_239 _merged_","2020020_TTP_SILS2670_RA6_1_238 _merged_"
"256.24106 Da 54.28 s",0.90,257.24834,,,0.0,0.0,0.0,0.0,1174.0,0.0
"129.07908 Da 56.29 s",0.94,130.08636,"Pipecolic acid","C6H11NO2",1350.0,1966.0,1134.0,1386.0,648.0,202.0
"144.04234 Da 55.66 s",0.93,145.04961,,"C6H8O4",3086.0,4754.0,2584.0,5488.0,3922.0,1370.0
"356.12601 Da 54.83 s",0.91,357.13328,,"C20H20O6",0.0,0.0,54.0,3786.0,2080.0,0.0
"84.04025 Da 55.24 s",0.92,85.04753,,,578.0,1592.0,0.0,1752.0,988.0,258.0
"129.04243 Da 55.21 s",0.92,130.04970,"Pyroglutamic acid","C5H7NO3",9174.0,14764.0,6514.0,16196.0,13670.0,3564.0
"151.04898 Da 55.43 s",0.92,152.05626,,"C5H5N5O",6002.0,10230.0,7336.0,6338.0,3404.0,1532.0
"115.06318 Da 55.37 s",0.92,116.07046,,"C5H9NO2",7812.0,13114.0,5506.0,15586.0,12528.0,3878.0
"55.04168 Da 55.45 s",0.92,56.04895,,,7108.0,7434.0,3946.0,8890.0,8062.0,2570.0
"83.03687 Da 54.91 s",0.92,84.04414,,"C4H5NO",12224.0,23336.0,11594.0,35580.0,27500.0,4156.0
"161.06866 Da 55.36 s",0.92,162.07593,,"C6H11NO4",20716.0,27774.0,13252.0,34712.0,34508.0,10144.0
"254.53773 Da 55.36 s",0.92,255.54501,,,806.0,1650.0,744.0,914.0,746.0,0.0
"83.07346 Da 55.36 s",0.92,84.08073,,"C5H9N",1602.0,2686.0,2204.0,2638.0,1368.0,404.0
"84.02111 Da 55.80 s",0.93,85.02839,,,1678.0,2426.0,1894.0,1794.0,940.0,326.0
"52.93125 Da 56.26 s",0.94,53.93853,,,0.0,0.0,904.0,0.0,0.0,1168.0
"235.93125 Da 57.56 s",0.96,236.93853,,,0.0,0.0,1286.0,770.0,0.0,1120.0
"173.07877 Da 57.90 s",0.97,174.08605,,,828.0,1308.0,1124.0,1334.0,702.0,0.0
"284.27167 Da 58.10 s",0.97,285.27895,,"C18H36O2",0.0,698.0,1506.0,560.0,0.0,704.0
"140.95123 Da 58.11 s",0.97,141.95851,,,3258.0,4300.0,3734.0,3348.0,3532.0,3536.0
"185.94848 Da 60.61 s",1.01,186.95576,,,4468.0,4992.0,5884.0,5892.0,6630.0,5958.0
"157.95372 Da 58.65 s",0.98,158.96100,,,3400.0,3994.0,4278.0,4526.0,4826.0,5276.0
"54.92675 Da 58.34 s",0.97,55.93403,,,10044.0,0.0,10320.0,10490.0,9660.0,10500.0
"95.95342 Da 58.75 s",0.98,96.96069,,,1670.0,1656.0,1400.0,2226.0,1530.0,1472.0
"194.90452 Da 59.38 s",0.99,195.91180,,,874.0,948.0,948.0,906.0,1142.0,1368.0
"195.07515 Da 59.48 s",0.99,196.08243,,"C7H17NOS2",3558.0,4426.0,3050.0,3068.0,1746.0,0.0
"380.14411 Da 60.06 s",1.00,381.15139,,"C15H28N2O5S2",886.0,1290.0,990.0,0.0,654.0,0.0
"563.17352 Da 60.78 s",1.01,564.18079,,,3284.0,3584.0,5970.0,5852.0,2340.0,0.0
"55.93471 Da 61.62 s",1.03,56.94199,,,3694.0,3198.0,3962.0,3350.0,3116.0,3634.0
"78.01374 Da 61.63 s",1.03,79.02102,,"C2H6OS",690.0,2228.0,1846.0,3744.0,2006.0,2850.0
"70.92197 Da 63.17 s",1.05,71.92925,,,892.0,1282.0,1260.0,1070.0,1210.0,1032.0
"55.04181 Da 63.29 s",1.05,56.04909,,,8710.0,18320.0,14526.0,14060.0,10212.0,2388.0
"103.04529 Da 63.69 s",1.06,104.05257,,,2932.0,7496.0,4142.0,4484.0,3078.0,772.0
"101.04713 Da 64.18 s",1.07,102.05441,,,584.0,1558.0,930.0,1050.0,812.0,0.0
"86.01897 Da 64.27 s",1.07,87.02625,,,704.0,1324.0,870.0,1126.0,1008.0,408.0
"60.00210 Da 63.57 s",1.06,61.00937,,,4584.0,11794.0,7236.0,8964.0,5672.0,1748.0
"238.56869 Da 65.33 s",1.09,239.57597,,,1250.0,1394.0,772.0,1138.0,0.0,284.0
"232.10567 Da 64.16 s",1.07,233.11295,,"C9H16N2O5",962.0,1278.0,1000.0,1640.0,1512.0,348.0
"565.18616 Da 65.90 s",1.10,566.19343,,"C15H44N5O7PS4",960.0,1108.0,964.0,522.0,714.0,0.0
